rewards,avg_rewards
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-40.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-46.0,-44.6
-50.0,-44.6
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-50.0,-49.6
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-45.0
-50.0,-45.0
0.0,-40.0
-50.0,-40.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
0.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
0.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
0.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-40.0
0.0,-35.0
-50.0,-35.0
-50.0,-35.0
0.0,-35.0
-50.0,-35.0
-50.0,-35.0
-50.0,-35.0
-50.0,-35.0
-50.0,-35.0
-50.0,-40.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-40.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
-50.0,-50.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
0.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
-50.0,-45.0
